Season,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,R,ER,TBF,SIERA,RS/9
1992,Indians,32,21,46,379,0,514.2,5.82,3.79,0.91,0.266,78.90%, , ,3.31,4.17, ,205,189,2175, , 
1979,Cardinals,22,25,25,275,0,375.1,5.32,3.45,0.6,0.269,72.90%, , ,3.31,3.61, ,160,138,1593, , 
1989,Indians,15,30,38,287,0,423.1,5.97,3.13,0.68,0.288,74.50%, , ,3.32,3.5, ,179,156,1802, , 
1981,Expos,16,9,23,183,0,271.1,4.54,2.89,0.73,0.265,74.40%, , ,3.32,3.67, ,112,100,1131, , 
1982,Expos,23,15,43,250,0,355.1,6,3.27,0.53,0.29,72.10%, , ,3.32,3.29, ,155,131,1507, , 
1990,Dodgers,21,19,29,339,0,439.1,7.03,3.44,0.78,0.277,73.20%, , ,3.32,3.59, ,193,162,1857, , 
1998,Astros,26,21,44,339,0,412,7.91,3.87,0.74,0.271,76.70%, , ,3.32,3.85, ,162,152,1741, , 
2011,Brewers,23,23,47,434,0,449.2,8.01,2.78,0.68,0.289,73.00%,50.90%,8.10%,3.32,3.24,3.43,186,166,1888,3.1,3.52
1982,Braves,37,24,51,314,0,527.1,5.67,3.43,0.63,0.282,74.10%, , ,3.33,3.56, ,223,195,2229, , 
2010,Rays,23,16,51,491,0,454,7.77,2.97,0.91,0.267,76.10%,42.20%,8.90%,3.33,3.76,3.84,180,168,1867,3.44,3.98
1982,Brewers,19,17,47,213,0,372.2,5.41,3.09,0.92,0.264,75.60%, , ,3.33,3.91, ,157,138,1556, , 
1991,Padres,19,17,47,333,0,437.1,5.78,3.52,0.54,0.275,73.10%, , ,3.33,3.53, ,181,162,1839, , 
1997,Orioles,33,24,59,400,0,477.2,8.25,4.3,0.92,0.274,78.80%, , ,3.33,4.1, ,191,177,2036, , 
1992,White Sox,26,22,52,292,0,404.1,5.59,3.92,0.56,0.272,75.10%, , ,3.34,3.8, ,167,150,1731, , 
2008,Dodgers,28,24,35,461,0,519.2,8.62,3.22,0.73,0.295,74.50%,46.00%,8.40%,3.34,3.47,3.69,217,193,2198,3.34,3.38
2010,Nationals,27,29,37,494,0,545.2,8.48,3.61,0.82,0.284,75.50%,43.30%,8.40%,3.35,3.68,3.83,228,203,2308,3.45,3.84
1975,Astros,15,24,25,265,0,427.1,5.03,4.06,0.46,0.288,75.40%, , ,3.35,3.59, ,178,159,1858, , 
1980,Padres,30,28,39,296,0,472.2,5.31,3.75,0.51,0.282,73.80%, , ,3.35,3.6, ,199,176,2005, , 
1980,Twins,17,17,30,213,0,423.2,4.65,3.25,0.59,0.276,72.80%, , ,3.36,3.73, ,183,158,1774, , 
1988,Pirates,26,22,46,313,0,434.1,6.07,3.09,0.62,0.28,73.80%, , ,3.36,3.42, ,178,162,1807, , 
2012,Pirates,18,19,45,483,0,498.2,8.37,3.43,0.85,0.279,76.60%,46.10%,9.80%,3.36,3.73,3.93,203,186,2126,3.59,3.43
1983,Phillies,33,16,41,300,0,437,6.92,3.13,0.8,0.28,75.10%, , ,3.36,3.45, ,181,163,1846, , 
1980,Tigers,26,12,30,210,0,445,5.6,3.42,0.91,0.28,79.80%, , ,3.36,4.03, ,174,166,1890, , 
1998,Pirates,16,25,41,395,0,458.1,8.25,4.38,0.69,0.286,72.40%, , ,3.36,3.86, ,213,171,1990, , 
1984,Brewers,16,24,41,283,0,461,5.84,3.65,0.84,0.281,77.40%, , ,3.36,3.95, ,192,172,1985, , 
1999,Reds,33,23,55,381,0,530.1,7.86,3.95,1.1,0.257,78.90%, , ,3.36,4.4, ,216,198,2208, , 
1977,Mets,15,21,28,248,0,385.1,5.61,3.39,0.54,0.269,73.60%, , ,3.36,3.51, ,158,144,1634, , 
2003,Mariners,18,11,38,366,0,414.2,7.55,2.8,0.87,0.277,77.00%,39.50%,8.50%,3.36,3.66,4.06,161,155,1714,3.58,3.45
1983,Cubs,20,30,42,369,0,532,6.23,3.64,0.49,0.284,74.10%, , ,3.37,3.33, ,214,199,2239, , 
1976,Tigers,16,16,20,164,0,411.2,6.6,4.72,0.55,0.272,72.40%, , ,3.37,3.62, ,187,154,1777, , 
1992,Twins,25,21,50,323,0,433,6.61,3.03,0.75,0.282,73.80%, , ,3.37,3.48, ,184,162,1818, , 
1985,Reds,31,16,45,287,0,400.2,5.28,3.84,0.7,0.271,75.30%, , ,3.37,3.84, ,168,150,1699, , 
2013,Blue Jays,28,31,39,487,0,552.2,8.31,3.22,0.96,0.278,75.50%,46.50%,11.20%,3.37,3.82,3.74,236,207,2319,3.37,3.94
1975,Dodgers,17,29,21,168,0,309.1,4.83,3.61,0.64,0.254,72.20%, , ,3.37,3.8, ,138,116,1333, , 
1986,Astros,30,16,51,299,0,437.1,5.82,3.99,0.7,0.254,74.80%, , ,3.38,3.89, ,181,164,1851, , 
2010,Rangers,32,19,46,481,0,503.2,7.58,3.63,0.86,0.273,77.90%,40.70%,8.30%,3.38,3.99,4.15,199,189,2123,3.76,4.41
1991,Angels,11,14,50,310,0,399.2,7.43,3.13,0.88,0.268,74.00%, , ,3.38,3.62, ,169,150,1652, , 
1985,Angels,28,16,41,249,0,455,4.69,3.03,1.01,0.262,76.90%, , ,3.38,4.15, ,191,171,1891, , 
1993,Dodgers,24,22,36,346,0,439,7.03,3.63,0.64,0.297,73.80%, , ,3.38,3.62, ,190,165,1858, , 
1977,Royals,29,17,42,219,0,388.1,5.59,3.31,0.79,0.257,74.00%, , ,3.38,3.78, ,161,146,1600, , 
2012,Mariners,20,25,43,451,0,454,8.88,3.69,0.87,0.28,76.50%,43.70%,10.00%,3.39,3.72,3.89,185,171,1909,3.54,2.81
1994,Reds,24,19,27,261,0,337,7,3.69,0.91,0.269,76.30%, , ,3.39,4.17, ,141,127,1416, , 
2013,Padres,25,29,40,488,0,522.2,8.08,3.13,0.95,0.29,77.20%,43.60%,10.70%,3.39,3.77,3.74,214,197,2179,3.43,3.72
1987,Phillies,27,18,48,389,0,496,6.59,3.74,0.93,0.263,76.20%, , ,3.39,4.05, ,211,187,2113, , 
1982,Mariners,26,18,39,303,0,448,6.75,3.48,0.86,0.271,76.00%, , ,3.4,3.68, ,185,169,1873, , 
1982,Royals,24,14,45,228,0,485,4.42,2.64,0.93,0.265,74.00%, , ,3.4,4, ,214,183,2041, , 
1979,Mets,23,34,36,328,0,519.1,5.35,4.73,0.54,0.283,74.60%, , ,3.4,3.94, ,228,196,2239, , 
1977,Dodgers,20,24,39,238,0,347,6.38,3.76,0.88,0.259,77.50%, , ,3.4,3.95, ,140,131,1469, , 
1997,Dodgers,25,22,45,412,0,445,7.46,3.5,0.97,0.273,77.40%, , ,3.4,4.05, ,182,168,1874, , 
1986,Rangers,28,20,41,328,0,492.2,6.27,4.29,0.79,0.283,76.80%, , ,3.4,4.05, ,211,186,2106, , 
1983,Cardinals,31,22,27,327,0,473,4.6,3.52,0.61,0.282,74.00%, , ,3.41,3.85, ,206,179,2022, , 
1991,Yankees,26,23,37,377,0,552,6.65,3.29,0.72,0.288,73.10%, , ,3.41,3.6, ,245,209,2344, , 
1996,Dodgers,23,27,50,383,0,446,8.56,3.57,0.67,0.31,73.40%, , ,3.41,3.51, ,198,169,1920, , 
1981,Blue Jays,9,15,18,189,0,300.2,4.61,3.44,0.54,0.285,72.90%, , ,3.41,3.59, ,135,114,1306, , 
1986,Pirates,21,30,30,356,0,474.2,6.35,4.23,0.82,0.259,74.50%, , ,3.41,4.02, ,209,180,2025, , 
2001,Yankees,31,17,57,362,0,477,7.98,3,0.72,0.292,73.70%, , ,3.42,3.47, ,203,181,2013, , 
1978,Rangers,16,20,25,170,0,321.1,5.57,3.16,0.5,0.301,73.50%, , ,3.42,3.2, ,138,122,1371, , 
1978,Yankees,23,20,36,188,0,413.1,5.01,3.16,0.7,0.27,74.00%, , ,3.42,3.62, ,176,157,1753, , 
2013,Marlins,24,34,36,471,0,516,8.15,3.52,0.54,0.296,73.20%,48.20%,6.50%,3.42,3.26,3.74,214,196,2180,3.49,2.74
1992,Athletics,29,14,58,400,0,484.1,6.43,3.53,0.65,0.285,74.30%, , ,3.42,3.53, ,205,184,2059, , 
1981,Astros,15,14,25,164,0,236.2,6.12,3.42,0.46,0.273,71.00%, , ,3.42,3.09, ,101,90,1002, , 
1990,Astros,27,25,37,348,0,460,5.87,3.21,0.61,0.273,73.60%, , ,3.42,3.57, ,190,175,1925, , 
2012,Rangers,21,14,43,428,0,457.1,8.64,2.7,1.04,0.281,75.30%,43.80%,11.60%,3.42,3.67,3.63,193,174,1896,3.26,4.13
1993,Expos,30,24,61,385,0,512.1,6.92,3.55,0.81,0.27,71.80%, , ,3.43,3.9, ,238,195,2193, , 
2012,Yankees,24,17,51,485,0,444,8.92,3.2,0.95,0.295,77.60%,44.90%,11.10%,3.43,3.62,3.64,179,169,1864,3.34,4.56
1982,Angels,26,25,27,248,0,465,5.81,3.68,0.72,0.27,75.20%, , ,3.43,3.78, ,193,177,1941, , 
1978,Tigers,20,20,21,157,0,344,5.83,3.92,0.65,0.273,73.40%, , ,3.43,3.61, ,152,131,1471, , 
2005,Athletics,25,15,38,410,0,448.2,8.14,3.53,0.9,0.284,75.00%,40.30%,9.30%,3.43,3.84,4.03,197,171,1904,3.59,4.03
1974,Reds,26,17,27,256,0,416.2,4.54,2.98,0.84,0.262,74.60%, , ,3.43,3.81, ,177,159,1750, , 
1994,Phillies,15,16,30,243,0,327.1,6.24,3.57,0.49,0.309,74.20%, , ,3.44,3.81, ,145,125,1441, , 
1981,Brewers,16,11,35,199,0,337.2,4.5,3.38,0.48,0.268,73.20%, , ,3.44,3.45, ,137,129,1416, , 
1976,Giants,24,22,31,303,0,481.1,4.64,3.25,0.41,0.285,70.50%, , ,3.44,3.34, ,220,184,2090, , 
2011,Marlins,30,30,40,508,0,515.1,7.91,3.63,0.72,0.277,74.00%,47.40%,8.20%,3.44,3.62,3.8,216,197,2167,3.5,3.49
1993,Giants,21,16,50,414,0,476,7.54,3.12,1.08,0.264,77.60%, , ,3.44,4.01, ,195,182,1983, , 
1979,Astros,20,17,31,237,0,332,5.94,3.88,0.68,0.279,74.00%, , ,3.44,3.76, ,147,127,1434, , 
2013,Cardinals,20,19,44,483,0,475.1,8.48,2.8,0.68,0.303,75.10%,49.20%,8.50%,3.45,3.26,3.49,192,182,1999,3.12,3.16
1985,Astros,24,27,42,282,0,420.1,5.44,3.55,0.73,0.279,72.00%, , ,3.45,3.73, ,194,161,1775, , 
2011,Phillies,26,18,47,395,0,412.1,8.01,3.99,0.83,0.28,77.20%,43.70%,8.80%,3.45,3.91,4.03,169,158,1751,3.67,3.32
2006,Padres,30,23,50,475,0,492.2,7.05,2.65,0.95,0.278,75.20%,42.50%,9.50%,3.45,3.9,4.09,207,189,2053,3.83,3.62
1991,Orioles,25,26,42,372,0,557.2,6.28,3,0.69,0.277,73.70%, , ,3.45,3.52, ,230,214,2308, , 
1987,Blue Jays,34,22,43,336,0,484.2,7.95,4.31,0.91,0.271,77.90%, , ,3.45,3.91, ,197,186,2041, , 
1986,White Sox,21,24,38,297,0,479,5.75,3.23,0.77,0.272,75.70%, , ,3.46,3.77, ,197,184,2016, , 
1989,Red Sox,26,21,42,297,0,502.1,6.95,3.37,0.59,0.3,70.60%, , ,3.46,3.22, ,231,193,2115, , 
1991,Cubs,29,29,40,360,0,499.2,6.93,3.8,0.74,0.272,72.70%, , ,3.46,3.7, ,223,192,2125, , 
1977,White Sox,19,21,40,221,0,411,5.15,3.79,0.83,0.286,75.70%, , ,3.46,4.1, ,187,158,1803, , 
2007,Blue Jays,19,25,44,420,0,450,7.24,3.36,0.62,0.281,73.10%,48.20%,7.10%,3.46,3.77,4.1,190,173,1899,3.84,3.96
1977,Cardinals,26,22,31,305,0,489,5.26,3.42,0.83,0.275,74.80%, , ,3.46,3.94, ,213,188,2058, , 
1992,Blue Jays,21,12,49,284,0,403,7.06,3.62,0.63,0.286,73.60%, , ,3.46,3.37, ,172,155,1720, , 
1998,Padres,31,19,59,369,0,421,8.32,3.72,0.92,0.276,76.40%, , ,3.46,3.94, ,175,162,1770, , 
1979,Padres,23,31,25,279,0,444.1,5.45,3.97,0.59,0.287,73.70%, , ,3.46,3.74, ,198,171,1920, , 
1989,Blue Jays,29,21,38,277,0,483,7.92,3.73,0.47,0.29,71.60%, , ,3.47,3, ,207,186,2050, , 
1974,Red Sox,15,12,18,139,0,283,6.11,3.37,0.76,0.281,73.30%, , ,3.47,3.48, ,126,109,1200, , 
1989,Brewers,21,18,45,291,0,477.2,5.5,2.9,0.73,0.28,73.80%, , ,3.47,3.61, ,203,184,1994, , 
1996,Cardinals,22,24,43,413,0,436,6.96,3.2,0.81,0.281,74.90%, , ,3.47,3.95, ,186,168,1860, , 
2004,Angels,25,16,50,343,0,490.1,9.07,3.41,0.77,0.301,75.30%,44.30%,7.90%,3.47,3.38,3.8,205,189,2094,3.41,4.04
2003,Giants,33,15,43,461,0,487.2,6.75,3.56,0.68,0.28,74.50%,44.10%,7.30%,3.47,3.79,4.32,205,188,2067,4.04,3.78
1994,Expos,21,15,46,259,0,365.2,7.8,2.29,0.91,0.29,74.20%, , ,3.47,3.59, ,156,141,1533, , 
2010,Yankees,23,17,39,430,0,469.1,7.69,3.61,0.92,0.268,77.00%,44.60%,9.30%,3.47,4.06,4.08,193,181,1976,3.67,4.18
1989,Reds,25,22,37,339,0,478.1,8.03,3.89,0.62,0.279,72.20%, , ,3.48,3.25, ,209,185,2037, , 
1983,Braves,26,27,48,305,0,462.2,6.5,3.07,0.8,0.287,75.70%, , ,3.48,3.55, ,192,179,1944, , 
1986,Brewers,23,19,32,237,0,449.2,6.81,3.66,0.88,0.284,74.80%, , ,3.48,3.8, ,202,174,1927, , 
2010,Twins,21,18,40,465,0,457,6.74,2.95,0.87,0.287,75.90%,42.80%,8.00%,3.49,3.91,4.13,192,177,1921,3.79,3.56
1978,Indians,20,18,28,214,0,426,5.85,4.23,0.57,0.275,74.50%, , ,3.49,3.59, ,182,165,1846, , 
2005,Padres,30,20,45,456,0,518.2,7.88,3.4,0.71,0.295,73.50%,44.60%,7.90%,3.49,3.51,3.85,226,201,2208,3.57,3.97
2002,Orioles,25,20,31,407,0,489.2,6.47,3.69,1.03,0.267,77.10%,45.50%,10.70%,3.49,4.37,4.37,214,190,2096,4.05,3.35
1983,Orioles,24,13,38,225,0,438,5.9,3.6,0.74,0.28,75.90%, , ,3.49,3.74, ,181,170,1850, , 
2013,Dodgers,30,24,46,504,0,471.1,8.61,3.55,0.78,0.294,75.20%,48.80%,10.60%,3.49,3.56,3.55,198,183,1988,3.31,3.7
2009,Giants,25,21,41,457,0,461,7.97,4.06,0.74,0.285,75.70%,42.60%,7.60%,3.49,3.86,4.21,195,179,1981,3.9,3.69
1989,Pirates,19,25,40,325,0,479,5.9,3.83,0.51,0.272,72.70%, , ,3.49,3.49, ,202,186,2033, , 
1975,Braves,18,16,24,267,0,412,4.87,4.15,0.42,0.287,70.60%, , ,3.5,3.61, ,202,160,1831, , 
2013,Twins,27,22,40,511,0,579.1,7.89,2.87,0.9,0.283,74.70%,39.60%,8.80%,3.5,3.62,3.87,242,225,2394,3.46,3.56
1985,Phillies,22,26,30,315,0,427.1,6.32,3.94,0.63,0.279,73.20%, , ,3.5,3.58, ,190,166,1841, , 
1980,Expos,25,22,36,280,0,411.2,5.44,3.04,0.48,0.287,70.20%, , ,3.5,3.29, ,187,160,1767, , 
2008,Athletics,27,20,33,441,0,506.2,7.41,3.64,0.78,0.287,76.20%,42.80%,7.80%,3.5,3.94,4.28,210,197,2138,3.92,3.53
1984,Mets,30,12,50,278,0,455,5.8,3.56,0.69,0.274,71.70%, , ,3.5,3.73, ,208,177,1926, , 
1985,White Sox,25,19,39,305,0,439,6.4,3.34,0.8,0.276,74.10%, , ,3.51,3.61, ,190,171,1842, , 
1989,Braves,16,35,33,340,0,480,7.39,3.19,0.62,0.283,72.50%, , ,3.51,3.11, ,200,187,2003, , 
2004,Rangers,34,15,52,468,0,538.2,7.52,3.68,0.82,0.286,75.10%,44.70%,8.10%,3.51,3.93,4.34,237,210,2317,3.96,4.21
2011,Cubs,25,26,40,495,0,502.2,8.49,4.06,0.82,0.278,75.20%,42.40%,8.40%,3.51,3.85,4.03,219,196,2164,3.58,3.51
1995,Mets,25,22,36,298,0,366.2,7.02,3.07,0.74,0.295,73.00%, , ,3.51,3.7, ,162,143,1545, , 
1993,Indians,34,32,45,410,0,561.1,6.53,4.01,1.01,0.3,77.20%, , ,3.51,4.37, ,261,219,2480, , 
1993,Astros,13,24,42,324,0,392,6.7,3.15,0.69,0.283,71.90%, , ,3.51,3.61, ,174,153,1657, , 
1986,Expos,28,32,50,326,0,486.2,6.53,3.61,0.72,0.277,73.50%, , ,3.51,3.63, ,213,190,2071, , 
1990,Rangers,23,19,36,302,0,407,5.44,4.05,0.57,0.278,72.40%, , ,3.52,3.85, ,185,159,1746, , 
1986,Padres,30,29,32,350,0,524.2,7.05,4.08,0.86,0.276,74.60%, , ,3.52,3.86, ,235,205,2232, , 
1980,Reds,30,20,37,262,0,450.1,5.82,3.38,0.54,0.275,72.70%, , ,3.52,3.41, ,187,176,1879, , 
2005,Angels,25,23,54,379,0,450.1,8.27,3.46,1.02,0.271,76.10%,43.30%,10.70%,3.52,3.86,3.85,191,176,1901,3.49,3.82
1990,Orioles,24,23,43,357,0,486,6.09,3.31,0.83,0.277,74.70%, , ,3.52,3.79, ,209,190,2047, , 
2011,Angels,24,26,39,386,0,422,6.91,3.95,0.9,0.279,76.40%,50.80%,10.20%,3.52,4.16,4.09,183,165,1812,3.86,3.69
2013,Orioles,29,26,57,473,0,514,8.05,2.73,1,0.293,77.00%,46.70%,11.90%,3.52,3.74,3.58,213,201,2143,3.26,4.2
1988,Royals,20,20,32,253,0,345,5.97,3.55,0.57,0.284,73.20%, , ,3.52,3.56, ,150,135,1475, , 
2013,Diamondbacks,35,22,38,527,0,518.2,8.55,3.28,1.02,0.288,78.20%,43.20%,11.50%,3.52,3.85,3.72,213,203,2195,3.37,3.87
1986,Braves,23,21,39,309,0,442,6.23,3.69,0.73,0.28,74.00%, , ,3.52,3.75, ,194,173,1873, , 
1979,Reds,27,26,40,281,0,434,5.72,3.34,0.54,0.287,71.20%, , ,3.53,3.41, ,197,170,1856, , 
1996,Expos,32,21,43,433,0,508,7.92,3.42,0.81,0.273,74.10%, , ,3.53,3.89, ,218,199,2150, , 
1991,Twins,24,16,53,291,0,448.2,5.9,3.29,0.74,0.277,73.90%, , ,3.53,3.77, ,193,176,1886, , 
1991,Reds,15,23,43,354,0,474,7.27,3.82,0.63,0.294,73.30%, , ,3.53,3.45, ,207,186,2014, , 
1991,Blue Jays,24,21,60,347,0,448,7.33,3.68,0.7,0.273,73.70%, , ,3.54,3.54, ,189,176,1886, , 
1980,Mets,29,36,33,324,0,552.1,6.21,3.37,0.77,0.284,73.30%, , ,3.54,3.63, ,248,217,2363, , 
1979,Twins,22,19,33,213,0,412.1,5.02,3.16,0.52,0.29,72.00%, , ,3.54,3.46, ,181,162,1736, , 
2007,Braves,26,20,36,528,0,539.1,7.41,3.97,0.77,0.282,72.90%,46.40%,8.20%,3.54,4.15,4.35,250,212,2323,4.08,4.11
1981,White Sox,17,10,23,173,0,282.1,5.32,3.67,0.67,0.268,72.40%, , ,3.54,3.68, ,126,111,1191, , 
2001,Angels,25,25,43,384,0,437.1,7.14,3.56,0.88,0.279,75.00%, , ,3.54,4.06, ,194,172,1872, , 
1989,Rangers,20,16,44,321,0,409.1,7.3,4.53,0.66,0.277,73.40%, , ,3.54,3.76, ,185,161,1753, , 
2009,Athletics,24,23,38,488,0,559.1,8.27,3.12,0.68,0.295,72.80%,43.40%,6.70%,3.54,3.35,3.84,238,220,2347,3.46,4.17
1976,Red Sox,17,24,27,195,0,406.2,3.85,2.63,0.49,0.281,70.20%, , ,3.54,3.45, ,184,160,1719, , 
1986,Reds,29,19,45,313,0,477.2,6.95,4.15,0.73,0.291,75.20%, , ,3.54,3.71, ,209,188,2049, , 
1985,Padres,16,28,44,283,0,409,5.79,3.56,0.68,0.273,72.00%, , ,3.54,3.62, ,184,161,1728, , 
1990,Angels,18,19,42,269,0,406,6.18,3.61,0.62,0.298,73.00%, , ,3.55,3.64, ,187,160,1764, , 
1983,Giants,23,21,47,276,0,466.2,4.78,3.63,0.62,0.285,71.80%, , ,3.55,3.84, ,221,184,2026, , 
2006,Tigers,20,20,46,390,0,471.2,6.72,3.55,0.9,0.272,75.50%,43.90%,8.60%,3.55,4.29,4.63,207,186,2022,4.26,4.14
1974,Twins,23,11,29,189,0,413.1,5.53,3.31,0.54,0.282,72.20%, , ,3.55,3.32, ,180,163,1747, , 
2008,Rays,31,17,52,448,0,484.1,8.03,4.11,0.95,0.257,75.10%,40.20%,9.20%,3.55,4.18,4.32,210,191,2040,3.91,4.16
1997,Angels,31,27,39,400,0,489.1,7.95,4.19,0.88,0.29,77.10%, , ,3.55,4.15, ,212,193,2119, , 
1981,Orioles,12,12,23,133,0,289,5.67,4.02,0.81,0.288,76.70%, , ,3.55,3.91, ,125,114,1233, , 
1985,Expos,26,21,53,323,0,484,5.43,3.31,0.74,0.26,73.40%, , ,3.55,3.74, ,207,191,2035, , 
1979,Cubs,26,18,44,287,0,481.1,6.88,3.66,0.64,0.28,72.20%, , ,3.55,3.42, ,214,190,2051, , 
2011,Reds,29,28,39,502,0,499,7.67,4.09,0.85,0.273,76.40%,45.30%,9.10%,3.55,4.03,4.11,210,197,2120,3.79,4.02
2005,Nationals,29,27,51,470,0,491.1,5.99,3.33,0.79,0.285,75.70%,41.60%,7.40%,3.55,4.15,4.64,216,194,2133,4.23,3.88
1988,Blue Jays,20,20,47,294,0,481,6.46,3.99,0.73,0.289,74.80%, , ,3.56,3.84, ,215,190,2069, , 
1975,Giants,22,15,24,259,0,379.2,4.72,4.91,0.4,0.292,74.50%, , ,3.56,3.88, ,173,150,1704, , 
1983,Brewers,28,20,43,211,0,392,4.94,3.72,0.83,0.274,74.70%, , ,3.56,4.15, ,177,155,1682, , 
1978,Astros,16,17,23,218,0,349,6.03,3.79,0.41,0.3,73.20%, , ,3.56,3.16, ,151,138,1516, , 
2009,Reds,19,19,41,478,0,495.2,7.3,3.98,0.84,0.278,75.30%,44.60%,8.60%,3.56,4.09,4.3,214,196,2088,4.04,3.05
2012,Giants,23,19,53,526,0,452.2,7.61,3.2,0.76,0.302,73.30%,52.60%,10.00%,3.56,3.68,3.82,206,179,1952,3.56,3.56
1997,Braves,26,24,37,374,0,369,8.61,4.39,0.8,0.29,74.60%, , ,3.56,3.89, ,166,146,1593, , 
1992,Dodgers,15,29,29,353,0,401.2,6.59,3.97,0.49,0.314,73.80%, , ,3.56,3.39, ,182,159,1786, , 
2013,Nationals,29,22,47,440,0,477.1,7.88,2.98,0.79,0.299,74.80%,43.60%,8.30%,3.56,3.5,3.79,202,189,2021,3.48,3.13
1992,Pirates,37,19,43,354,0,469.2,6.04,3.68,0.86,0.27,77.40%, , ,3.56,3.97, ,192,186,1997, , 
1977,Tigers,22,25,23,198,0,436.2,6.68,3.92,0.89,0.281,73.50%, , ,3.57,3.87, ,205,173,1873, , 
1974,Giants,20,23,25,292,0,459.1,4.58,3.49,0.69,0.265,70.20%, , ,3.57,3.75, ,220,182,1977, , 
2004,Braves,28,17,48,483,0,486.2,6.9,3.03,0.98,0.3,77.00%,50.10%,11.50%,3.57,4.01,3.94,212,193,2086,3.76,4.4
1983,Expos,14,23,34,252,0,395.2,7.14,3.48,0.86,0.284,75.90%, , ,3.57,3.68, ,169,157,1677, , 
1976,Padres,17,11,18,258,0,415.1,5.24,4.25,0.56,0.275,73.80%, , ,3.58,3.74, ,181,165,1783, , 
1978,Red Sox,29,14,26,178,0,375,4.54,3.05,0.6,0.3,73.30%, , ,3.58,3.54, ,171,149,1626, , 
1977,Angels,16,21,26,185,0,367.1,4.85,3.53,0.98,0.261,74.40%, , ,3.58,4.33, ,168,146,1545, , 
1991,Red Sox,19,17,45,328,0,455.1,5.69,3.74,0.87,0.267,74.80%, , ,3.58,4.18, ,203,181,1944, , 
1999,Braves,33,14,45,394,0,419.1,8.97,4.44,0.99,0.277,76.30%, , ,3.58,4.1, ,184,167,1799, , 
2002,Dodgers,26,18,56,423,0,471.2,7.44,3.32,1.01,0.271,76.30%,43.90%,10.50%,3.59,3.98,4,202,188,2001,3.64,4.08
1991,Braves,22,19,48,345,0,443.2,6.25,3.47,0.77,0.27,71.40%, , ,3.59,3.82, ,207,177,1894, , 
1982,Rangers,17,15,24,214,0,421,4.96,3.38,0.6,0.31,73.90%, , ,3.59,3.68, ,195,168,1843, , 
2013,Rays,27,24,42,485,0,498.2,9.33,3.5,0.78,0.278,73.50%,41.80%,8.60%,3.59,3.36,3.6,208,199,2080,3.21,3.43
2010,Mets,26,27,36,491,0,481,7.95,4.02,0.75,0.297,76.90%,45.30%,8.00%,3.59,3.9,4.09,202,192,2078,3.74,4.15
1981,Dodgers,17,17,24,187,0,282.2,5.38,3.28,0.6,0.277,74.10%, , ,3.6,3.4, ,117,113,1196, , 
1989,Expos,23,21,35,287,0,382.2,5.95,3.39,0.71,0.284,74.00%, , ,3.6,3.64, ,166,153,1619, , 
2005,Mariners,19,29,39,433,0,457.2,7.08,3.34,1.08,0.266,77.00%,39.50%,9.60%,3.6,4.28,4.44,199,183,1953,3.91,4.31
1992,Red Sox,22,26,39,328,0,420,6.02,3.9,0.64,0.295,74.50%, , ,3.6,3.8, ,189,168,1827, , 
1975,Twins,15,18,22,163,0,365,4.98,3.95,0.91,0.261,73.70%, , ,3.6,4.17, ,171,146,1558, , 
1996,Cubs,22,25,34,438,0,507.1,6.83,4.24,0.82,0.273,75.60%, , ,3.6,4.35, ,222,203,2178, , 
1980,Angels,27,20,30,268,0,572,5.48,3.48,0.85,0.272,73.90%, , ,3.6,4.02, ,260,229,2441, , 
1989,Orioles,26,17,44,312,0,486.2,5.34,3.01,0.67,0.29,74.20%, , ,3.61,3.58, ,207,195,2052, , 
1990,Padres,22,25,35,288,0,461.2,6.37,3.88,0.88,0.281,74.30%, , ,3.61,4.01, ,214,185,1995, , 
2011,Mariners,18,20,39,351,0,411.2,6.34,3.34,0.7,0.282,74.20%,49.20%,8.20%,3.61,3.86,4.04,176,165,1743,3.82,3.21
1993,Cubs,26,16,56,422,0,468.1,6.51,3.19,0.9,0.293,75.20%, , ,3.61,4.03, ,210,188,1990, , 
1982,Astros,15,21,31,244,0,351,4.77,3.85,0.46,0.28,71.80%, , ,3.62,3.71, ,161,141,1529, , 
1974,Astros,25,21,18,272,0,415.1,4.68,3.79,0.41,0.283,71.40%, , ,3.62,3.51, ,190,167,1795, , 
2006,Athletics,25,15,54,444,0,465,7.06,3.66,0.72,0.298,75.60%,40.00%,6.70%,3.62,3.95,4.59,200,187,1997,4.23,3.75
1976,Angels,15,20,17,177,0,335.2,4.29,3.14,0.59,0.276,71.60%, , ,3.62,3.67, ,152,135,1425, , 
1982,White Sox,22,16,41,258,0,432.1,4.62,2.87,0.6,0.282,71.10%, , ,3.62,3.57, ,195,174,1816, , 
2013,Indians,33,16,38,540,0,516.2,8.71,3.85,0.87,0.29,74.90%,44.50%,10.20%,3.62,3.79,3.83,230,208,2219,3.51,3.9
2003,Diamondbacks,33,22,42,452,0,462,8.36,4.36,0.8,0.276,73.60%,44.40%,9.10%,3.62,3.93,4.21,212,186,2009,3.86,4.21
1984,Phillies,20,26,35,287,0,417,5.68,3.24,0.67,0.27,69.40%, , ,3.63,3.59, ,198,168,1788, , 
