Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2011,Brewers,2030,6113,185,721,693,94,7.90%,17.70%,0.164,0.293,0.261,0.325,0.425,0.327,103,-1.9,18.4,43.4,26.7
1979,Reds,2065,6211,132,731,686,99,9.90%,14.50%,0.132,0.292,0.264,0.338,0.396,0.327,100,2.8,2.7,49.1,26.7
1974,Orioles,1713,6230,116,659,608,145,8.20%,12.40%,0.113,0.277,0.256,0.322,0.37,0.317,103,8.1,27.6,25.1,26.6
1993,Cubs,2268,6217,161,738,706,100,7.20%,14.80%,0.143,0.297,0.27,0.325,0.414,0.326,95,3.4,-35.8,82.3,26.6
1987,Pirates,2190,6224,131,723,684,140,8.60%,14.70%,0.138,0.293,0.264,0.33,0.403,0.319,92,0.8,-60.1,114.4,26.6
2013,Orioles,1893,6144,212,745,719,79,6.80%,18.30%,0.171,0.288,0.26,0.313,0.431,0.323,100,12.7,13.5,29.7,26.6
2005,Red Sox,1886,6403,199,910,863,45,10.20%,16.30%,0.174,0.31,0.281,0.357,0.454,0.352,112,-15.1,80.5,-33.9,26.6
1998,Indians,1849,6373,198,850,811,143,9.90%,16.60%,0.176,0.302,0.273,0.347,0.449,0.347,103,2,29.9,20.9,26.6
1979,Cardinals,2110,6347,100,731,685,116,7.20%,13.20%,0.123,0.307,0.278,0.331,0.401,0.324,98,-2.8,-17.7,64.4,26.6
2001,Rockies,2178,6393,213,923,874,132,8.00%,16.10%,0.191,0.322,0.292,0.354,0.483,0.357,95,2.6,-41.6,102.6,26.6
2010,Brewers,2096,6304,182,750,710,81,8.70%,19.30%,0.161,0.304,0.262,0.335,0.424,0.334,104,-4.7,27.2,30.3,26.5
1990,Blue Jays,1673,6217,167,767,729,111,8.50%,15.60%,0.155,0.291,0.265,0.328,0.419,0.333,107,-0.7,49.7,8.4,26.5
2006,Blue Jays,1833,6241,199,809,778,65,8.20%,14.50%,0.179,0.306,0.284,0.348,0.463,0.349,107,-1.4,57.2,3.4,26.5
2013,Tigers,1858,6388,176,796,767,35,8.30%,16.80%,0.151,0.32,0.283,0.346,0.434,0.341,113,-19.4,76.7,-42.9,26.5
2012,Braves,1948,6126,149,700,660,101,9.30%,21.00%,0.142,0.296,0.247,0.32,0.389,0.31,93,7.4,-45.3,104.2,26.4
1988,Twins,1812,6181,151,759,710,107,8.50%,13.50%,0.147,0.296,0.274,0.34,0.421,0.34,108,-7.5,50.8,-5.6,26.4
1977,Orioles,1894,6173,148,719,677,90,9.10%,15.30%,0.132,0.289,0.261,0.329,0.393,0.321,103,2,26.8,24.2,26.4
1982,Dodgers,2200,6307,137,689,651,151,8.20%,12.60%,0.124,0.284,0.264,0.327,0.388,0.318,101,8.2,17.2,24.2,26.4
1990,Mets,2107,6182,172,775,734,110,8.70%,13.80%,0.152,0.273,0.256,0.323,0.408,0.325,103,6.7,30,4.9,26.4
2013,Angels,1775,6260,164,733,696,82,8.40%,19.50%,0.15,0.307,0.264,0.329,0.414,0.325,108,3.2,61,-24,26.4
1983,Cardinals,2242,6242,83,679,636,207,8.70%,14.10%,0.115,0.305,0.27,0.335,0.384,0.321,100,5.2,6.7,44,26.3
1986,Giants,2248,6211,114,698,637,147,8.60%,17.50%,0.122,0.295,0.253,0.322,0.375,0.309,95,-8.4,-42.2,97.7,26.3
1999,Rangers,1807,6389,230,945,897,111,9.60%,14.70%,0.186,0.313,0.293,0.361,0.479,0.363,109,-2.1,74.6,-20.4,26.3
2013,Giants,2062,6168,107,629,596,67,7.60%,17.50%,0.121,0.304,0.26,0.32,0.381,0.309,99,0.3,-9,69,26.2
2003,Yankees,1798,6431,230,877,845,98,10.60%,16.20%,0.182,0.295,0.271,0.356,0.453,0.351,115,-4.8,114.9,-72,26.2
1994,Astros,1504,4500,120,602,573,124,8.80%,16.00%,0.167,0.311,0.278,0.347,0.445,0.343,109,5.5,60.3,58.4,26.2
2003,Phillies,2060,6333,166,791,757,72,10.30%,18.20%,0.158,0.301,0.261,0.343,0.419,0.332,100,-0.5,-0.4,59.1,26.1
2009,Dodgers,2239,6385,145,780,739,116,9.50%,16.70%,0.141,0.309,0.27,0.346,0.412,0.332,102,6.9,21.6,34.1,26.1
1987,Giants,2285,6250,205,783,731,126,8.20%,17.50%,0.17,0.288,0.26,0.324,0.43,0.326,101,-18.6,-7.4,56.3,26.1
2004,Phillies,2150,6456,215,840,802,100,10.00%,17.50%,0.176,0.297,0.267,0.345,0.443,0.34,100,-0.4,0,50.4,26.1
2001,Diamondbacks,2177,6346,208,818,776,71,9.20%,16.50%,0.175,0.294,0.267,0.341,0.442,0.336,97,-2.6,-31.3,88.6,26
1978,Expos,2104,6064,121,633,589,80,6.50%,14.50%,0.125,0.281,0.254,0.306,0.379,0.308,91,0.5,-58.3,109,26
1998,Mariners,1858,6331,234,859,823,115,8.80%,17.10%,0.192,0.302,0.276,0.345,0.468,0.353,109,5.9,77.8,-30.5,26
1974,Athletics,2001,6048,132,689,637,164,9.40%,14.50%,0.127,0.27,0.247,0.321,0.373,0.319,106,-1.5,36,16,26
1979,Dodgers,2060,6188,183,739,713,106,9.00%,13.50%,0.149,0.279,0.263,0.331,0.412,0.33,104,4.6,36.6,8.3,26
2000,White Sox,1791,6410,216,978,926,119,9.20%,15.00%,0.184,0.309,0.286,0.356,0.47,0.357,106,5.3,58.5,-9.6,25.9
1999,Yankees,1891,6416,193,900,855,104,11.20%,15.20%,0.171,0.309,0.282,0.366,0.453,0.358,111,-4.9,90.5,-39.9,25.9
1983,White Sox,1969,6164,157,800,762,165,8.50%,14.40%,0.15,0.285,0.262,0.329,0.413,0.33,102,12.3,23.3,24,25.8
2003,Astros,2344,6320,191,805,763,66,8.80%,16.20%,0.169,0.289,0.263,0.336,0.431,0.333,97,5.8,-20.9,76.6,25.8
1993,Tigers,1701,6505,178,899,853,104,11.80%,17.20%,0.159,0.313,0.275,0.362,0.434,0.354,114,-3.8,104.8,-54.8,25.7
2002,Twins,1876,6196,167,768,731,79,7.60%,17.60%,0.165,0.309,0.272,0.332,0.437,0.334,101,-8.9,-2.1,46.5,25.7
1988,Pirates,2189,6091,110,651,619,119,9.10%,15.50%,0.123,0.278,0.247,0.317,0.369,0.308,98,-3.6,-15.6,67.6,25.6
2004,Cubs,2167,6281,235,789,755,66,7.80%,17.20%,0.19,0.292,0.268,0.328,0.458,0.336,98,-9.2,-23.4,74.9,25.6
1979,Pirates,2173,6329,148,769,710,179,7.60%,13.50%,0.144,0.296,0.272,0.33,0.416,0.327,98,11.3,-4.1,41.4,25.6
2004,Padres,2116,6313,139,768,722,52,9.00%,14.40%,0.141,0.301,0.273,0.342,0.414,0.329,103,5,27.4,22.3,25.5
1986,Astros,2199,6095,125,654,613,163,8.80%,15.00%,0.126,0.284,0.255,0.322,0.381,0.311,97,2,-18.3,68.8,25.5
1983,Astros,2082,6173,97,643,615,164,8.40%,14.10%,0.118,0.286,0.257,0.32,0.375,0.309,97,-5.7,-27.2,73,25.4
2008,Rangers,1790,6478,194,901,867,81,9.20%,18.60%,0.179,0.325,0.283,0.354,0.462,0.355,112,12.4,109.4,-73.4,25.4
1988,Giants,2186,6176,113,670,629,121,8.90%,16.50%,0.12,0.284,0.248,0.318,0.368,0.308,100,-10.2,-7.4,53.4,25.4
1992,Orioles,1728,6292,148,705,680,89,10.30%,13.10%,0.138,0.279,0.259,0.34,0.398,0.334,107,-2.3,43.9,-5.6,25.4
1995,Giants,1992,5603,152,652,610,138,8.40%,18.90%,0.151,0.292,0.253,0.323,0.404,0.32,93,6.3,-45,112.3,25.4
2008,Brewers,2024,6252,198,750,722,108,8.80%,19.20%,0.179,0.287,0.253,0.325,0.431,0.329,97,8.1,-12.4,61.6,25.3
1980,Phillies,2182,6269,117,728,674,140,7.50%,11.30%,0.13,0.288,0.27,0.327,0.4,0.324,100,2.6,4.2,41.7,25.3
1985,Orioles,1905,6212,214,818,773,69,9.70%,14.60%,0.167,0.279,0.263,0.336,0.43,0.34,111,-5.3,76.8,-37.3,25.3
1976,Dodgers,1999,6108,91,608,559,144,7.90%,12.10%,0.099,0.274,0.251,0.313,0.35,0.305,91,6.9,-51.3,91.2,25.3
2013,Braves,2052,6133,181,688,656,64,8.80%,22.60%,0.153,0.3,0.249,0.321,0.402,0.318,101,-8.5,0,52.5,25.3
1976,Royals,1913,6199,65,713,656,218,7.80%,10.50%,0.103,0.291,0.269,0.327,0.371,0.322,103,3,25.6,17.8,25.3
1992,Braves,2251,6143,138,682,641,126,8.00%,15.00%,0.134,0.28,0.254,0.316,0.388,0.316,95,0.8,-32.2,79.2,25.2
1996,Mets,2235,6220,147,746,697,97,7.20%,17.20%,0.143,0.307,0.27,0.324,0.412,0.321,94,-3.6,-50.7,120.2,25.2
2007,Brewers,1996,6238,231,801,774,96,8.00%,18.20%,0.194,0.289,0.262,0.329,0.456,0.337,100,7.4,7.6,44.1,25.1
1992,Pirates,2253,6269,106,693,656,110,9.10%,13.90%,0.126,0.283,0.255,0.324,0.381,0.316,100,0.2,-3.7,43,25.1
1991,Rangers,1981,6441,177,829,774,102,9.30%,16.10%,0.154,0.301,0.27,0.341,0.424,0.342,112,0.4,93.5,-62.2,25.1
2006,Phillies,2182,6509,216,865,823,92,9.60%,18.50%,0.18,0.302,0.267,0.347,0.447,0.341,100,7.5,4.6,34.6,25
1996,Braves,2227,6293,197,773,735,83,8.40%,16.40%,0.162,0.297,0.27,0.333,0.432,0.333,99,-4.2,-12.5,80.4,25
1985,Mets,2073,6248,134,695,651,117,8.70%,14.00%,0.128,0.281,0.257,0.323,0.385,0.313,99,0.4,-6.1,42.7,25
1979,Angels,1667,6311,164,866,808,100,9.30%,13.40%,0.148,0.304,0.282,0.351,0.429,0.347,113,0.7,102,-68.2,24.9
1984,Padres,2132,6119,109,686,629,152,7.70%,13.20%,0.112,0.284,0.259,0.317,0.371,0.308,95,3.2,-32.5,70.1,24.9
2009,Brewers,2145,6296,182,785,757,68,9.70%,19.60%,0.164,0.305,0.263,0.341,0.426,0.336,103,-10.3,9.5,36.5,24.9
1984,Blue Jays,1913,6286,143,750,702,193,7.30%,13.00%,0.148,0.296,0.273,0.331,0.421,0.335,103,11.8,35.3,4,24.9
1998,Orioles,2017,6304,214,817,783,86,9.40%,14.30%,0.174,0.291,0.273,0.347,0.447,0.347,109,-3.8,66,-29.3,24.9
2012,Rangers,1906,6216,200,808,780,91,7.70%,17.70%,0.173,0.306,0.273,0.334,0.446,0.336,106,1,44.7,-10.1,24.9
1978,Reds,2241,6190,136,709,669,137,10.30%,14.50%,0.138,0.282,0.256,0.334,0.393,0.328,103,5.9,24.1,3.8,24.9
1988,Reds,2127,6063,122,641,588,207,7.90%,15.20%,0.122,0.273,0.246,0.309,0.368,0.303,91,15.7,-45.4,93.4,24.8
1979,Rangers,1860,6194,140,750,718,79,7.40%,9.80%,0.13,0.289,0.278,0.334,0.409,0.33,101,-2.8,3.8,35.6,24.8
2009,Red Sox,1992,6344,212,872,822,126,10.40%,17.70%,0.184,0.301,0.27,0.352,0.454,0.351,106,-3.4,45.1,-13.2,24.8
1996,Cardinals,2258,6177,142,759,711,149,8.00%,17.60%,0.14,0.307,0.267,0.33,0.407,0.322,93,2.2,-55,121.8,24.8
2002,Dodgers,2297,6146,155,713,693,96,7.00%,15.30%,0.146,0.291,0.264,0.32,0.409,0.317,96,4.2,-28.3,78.4,24.8
1984,Red Sox,1716,6251,181,810,767,38,8.00%,13.50%,0.158,0.303,0.283,0.341,0.441,0.347,111,-2.8,78.5,-42.7,24.8
2002,Red Sox,1842,6332,177,859,810,80,8.60%,14.90%,0.168,0.302,0.277,0.345,0.444,0.343,107,-2.4,52.5,-22.3,24.7
1984,Orioles,1957,6187,160,681,647,51,10.00%,14.30%,0.139,0.273,0.252,0.328,0.391,0.324,101,-4.1,4.5,37.6,24.7
1980,Red Sox,1671,6200,162,757,717,79,7.70%,11.60%,0.153,0.299,0.283,0.34,0.436,0.345,106,-4.1,42,-12.5,24.7
2004,Angels,1979,6296,162,836,783,143,7.10%,15.00%,0.147,0.312,0.282,0.341,0.429,0.334,103,14.8,36.4,1.4,24.7
1985,Tigers,1842,6223,202,729,703,75,8.50%,14.90%,0.17,0.269,0.253,0.318,0.424,0.326,103,-3.1,21,13.7,24.6
1978,Red Sox,1600,6316,172,796,738,74,9.20%,13.20%,0.157,0.285,0.267,0.336,0.424,0.342,106,-4,36.4,-9.8,24.5
1983,Brewers,1655,6240,132,764,732,101,7.60%,10.70%,0.141,0.292,0.277,0.333,0.418,0.333,109,-0.1,65.3,-35.8,24.5
2010,Tigers,1856,6312,152,751,717,69,8.70%,18.20%,0.147,0.311,0.268,0.335,0.415,0.33,102,7.8,22,2.2,24.5
1996,White Sox,1786,6497,195,898,860,105,10.80%,14.30%,0.166,0.303,0.281,0.36,0.447,0.352,106,0.9,55,-40.5,24.5
1978,Tigers,1672,6299,129,714,666,90,8.90%,11.00%,0.12,0.288,0.271,0.339,0.392,0.332,103,4.2,27.8,-0.6,24.5
2000,Braves,2037,6273,178,809,757,148,9.50%,16.10%,0.157,0.302,0.271,0.346,0.428,0.339,95,4.6,-35,83.2,24.4
1989,Yankees,1733,6096,130,698,657,137,8.20%,13.60%,0.122,0.295,0.269,0.331,0.391,0.326,104,1.5,29.2,0,24.4
1980,Reds,2063,6206,113,706,668,156,8.70%,13.70%,0.124,0.289,0.262,0.327,0.386,0.319,98,13.3,-2.2,41,24.4
2013,Reds,2048,6293,155,698,664,67,9.30%,19.80%,0.142,0.293,0.249,0.327,0.391,0.316,97,-3.5,-28,67.1,24.4
2000,Reds,2313,6373,200,825,794,100,8.80%,15.60%,0.173,0.299,0.274,0.343,0.447,0.341,94,3.3,-46.5,89.9,24.3
1993,Cardinals,2288,6279,118,758,724,153,9.40%,14.00%,0.123,0.302,0.272,0.341,0.395,0.329,99,2.1,-2.7,23.5,24.3
2004,Red Sox,1983,6515,222,949,912,68,10.10%,18.30%,0.19,0.319,0.282,0.36,0.472,0.358,114,-22.1,92.9,-66.6,24.3
2004,Astros,2285,6269,187,803,756,89,9.40%,15.90%,0.17,0.293,0.267,0.342,0.436,0.336,98,6.6,-10.5,48.7,24.2
1980,Astros,2130,6253,75,637,599,194,8.60%,12.10%,0.106,0.289,0.261,0.326,0.367,0.311,99,8.7,4.6,30.9,24.2
1999,Phillies,2206,6386,161,841,797,125,9.90%,16.90%,0.156,0.313,0.275,0.351,0.431,0.343,96,9.3,-27.9,73.4,24.2
2010,Red Sox,1874,6356,211,818,782,68,9.20%,17.90%,0.183,0.299,0.268,0.339,0.451,0.345,109,-5.9,61,-41.3,24.2
2003,Twins,2051,6324,155,801,755,94,8.10%,16.20%,0.154,0.312,0.277,0.341,0.431,0.335,102,3.2,21.2,5.4,24.2
1999,Red Sox,1862,6321,176,836,808,67,9.40%,14.70%,0.17,0.303,0.278,0.35,0.448,0.349,102,-4.1,8.2,23,24.2
1977,Astros,2056,6201,114,680,638,187,8.30%,13.50%,0.131,0.28,0.254,0.32,0.385,0.313,96,12.5,-20.2,56.2,24.2
2012,Nationals,2114,6221,194,731,688,105,7.70%,21.30%,0.166,0.308,0.261,0.322,0.428,0.324,102,-17,-5.2,39.3,24.1
1991,Athletics,1810,6192,159,760,716,151,10.40%,15.80%,0.141,0.274,0.248,0.331,0.389,0.324,104,4.7,33.7,-0.6,24.1
1983,Yankees,1697,6279,153,770,728,84,8.50%,10.90%,0.143,0.286,0.273,0.337,0.416,0.337,111,-0.8,80,-57.6,24.1
2006,Yankees,2019,6455,210,930,902,139,10.10%,16.30%,0.177,0.315,0.285,0.363,0.461,0.356,113,8.6,120,-91.9,24
1992,Twins,1816,6267,104,747,701,123,8.40%,13.30%,0.115,0.306,0.277,0.341,0.391,0.331,103,-5.4,14.9,11.8,23.9
2002,Athletics,1888,6291,205,800,772,46,9.70%,16.00%,0.171,0.284,0.261,0.339,0.432,0.337,106,5.8,54.9,-32,23.9
2008,Astros,2191,6051,167,712,684,114,7.40%,17.40%,0.152,0.296,0.263,0.323,0.415,0.322,94,0.3,-49.4,90.4,23.9
2006,Braves,2163,6284,222,849,818,52,8.40%,18.60%,0.184,0.304,0.27,0.337,0.455,0.339,100,-14,-13.7,48.1,23.9
1982,Padres,2081,6160,81,675,611,165,7.00%,14.20%,0.101,0.29,0.257,0.311,0.359,0.298,90,2.7,-69.1,94.2,23.8
1974,Cardinals,2220,6314,83,677,610,172,8.40%,11.90%,0.099,0.291,0.265,0.331,0.365,0.318,94,12.1,-33.2,58.3,23.8
2008,Indians,1769,6299,171,805,772,77,8.90%,19.30%,0.162,0.305,0.262,0.339,0.424,0.334,103,2.3,26.2,-0.4,23.8
2010,Phillies,2012,6291,166,772,736,108,8.90%,16.90%,0.153,0.292,0.26,0.332,0.413,0.327,99,5.5,-2.3,33.5,23.8
1999,Braves,2204,6351,197,840,791,148,9.60%,15.10%,0.17,0.288,0.266,0.341,0.436,0.338,95,-0.2,-44.1,85.4,23.8
2010,Cardinals,2244,6241,150,736,689,79,8.70%,16.50%,0.139,0.296,0.263,0.332,0.402,0.322,99,5.4,-3.3,35.6,23.7
2001,Indians,1901,6357,212,897,868,79,9.10%,16.90%,0.179,0.308,0.278,0.35,0.458,0.347,112,-2.4,90.7,-67.4,23.7
1999,Blue Jays,1862,6370,212,883,856,119,9.10%,16.90%,0.177,0.311,0.28,0.352,0.457,0.353,104,2.2,37,-10.1,23.7
1977,Twins,1828,6382,123,867,804,105,8.80%,11.80%,0.135,0.304,0.282,0.348,0.417,0.339,106,-0.4,48.6,-32,23.7
2000,Dodgers,2056,6311,211,798,756,95,10.60%,17.10%,0.174,0.283,0.257,0.341,0.431,0.337,99,0.5,-4.2,46.3,23.7
1974,Astros,2152,6105,110,653,603,108,7.70%,14.10%,0.116,0.292,0.263,0.322,0.379,0.32,100,-2,-5,33.6,23.7
2011,Tigers,1909,6231,169,787,750,49,8.40%,18.30%,0.157,0.318,0.277,0.34,0.434,0.337,109,-10.5,53.2,-30.2,23.6
1984,Expos,2183,6042,96,593,553,131,7.80%,12.90%,0.111,0.277,0.251,0.312,0.362,0.303,91,10.8,-49.5,78,23.6
2001,Astros,2116,6320,208,847,805,64,9.20%,17.70%,0.18,0.304,0.271,0.347,0.451,0.343,101,-8.8,-1.5,36.1,23.6
2000,Mets,2345,6328,198,807,761,66,10.70%,16.40%,0.167,0.29,0.263,0.346,0.43,0.339,99,-7.2,-16.2,55.3,23.5
2006,Twins,1909,6228,143,801,754,101,7.90%,14.00%,0.138,0.316,0.287,0.347,0.425,0.334,101,9.5,16.8,13.5,23.5
1988,Expos,2224,6170,107,628,575,189,7.40%,17.10%,0.121,0.29,0.251,0.309,0.373,0.304,93,-0.5,-46.5,77.6,23.5
1992,Padres,2147,6070,135,616,576,69,7.50%,14.20%,0.132,0.279,0.255,0.313,0.386,0.314,95,-7.5,-42.3,75.2,23.5
1994,Yankees,1192,4611,139,670,632,55,11.50%,14.30%,0.172,0.315,0.29,0.374,0.462,0.366,118,-6.5,101.5,-16,23.4
1991,Reds,2195,6134,164,689,654,124,8.00%,16.40%,0.145,0.287,0.258,0.32,0.403,0.322,100,2.5,-0.8,26.2,23.4
2004,White Sox,1879,6197,242,865,823,78,8.10%,16.60%,0.189,0.288,0.268,0.333,0.457,0.34,101,-0.4,8.5,19.4,23.4
1990,Giants,2269,6216,152,719,681,109,7.90%,15.70%,0.134,0.291,0.262,0.323,0.396,0.321,100,-2.7,-3.3,8.8,23.4
1975,Yankees,1798,6039,110,681,642,103,8.00%,11.80%,0.118,0.284,0.264,0.325,0.382,0.323,101,-1.6,7.3,20.8,23.3
2013,Cardinals,2202,6202,125,783,745,45,7.80%,17.90%,0.133,0.314,0.269,0.332,0.401,0.322,106,-0.9,37.8,-6.4,23.2
2006,Cardinals,2209,6225,184,781,745,59,8.50%,14.80%,0.163,0.292,0.269,0.337,0.431,0.331,98,3,-16.2,46,23.2
1998,White Sox,1891,6281,198,861,806,127,8.80%,14.60%,0.172,0.291,0.271,0.339,0.444,0.341,103,5.3,30.6,-10.6,23.2
1997,Orioles,2003,6340,196,812,780,63,9.20%,15.00%,0.16,0.29,0.268,0.341,0.429,0.338,102,1.9,17.8,-4.3,23.2
1996,Orioles,1702,6494,257,949,914,77,9.90%,14.10%,0.198,0.284,0.274,0.35,0.472,0.355,106,-4.2,52.2,-51.1,23.1
1980,Expos,2105,6164,114,694,647,237,8.90%,14.00%,0.131,0.285,0.257,0.324,0.388,0.318,98,14.2,1.6,26.2,23.1
1986,Athletics,1761,6127,163,731,683,139,9.00%,16.00%,0.138,0.278,0.252,0.322,0.39,0.318,100,2.8,3.8,18.4,23.1
2009,Cardinals,2091,6168,160,730,694,75,8.60%,16.90%,0.152,0.296,0.263,0.332,0.415,0.325,98,16,1,30.9,23.1
2000,Astros,2299,6440,249,938,900,114,10.50%,17.50%,0.199,0.305,0.278,0.361,0.477,0.361,105,-0.3,46.6,-10.9,23.1
1992,Cardinals,2090,6230,94,631,599,208,7.90%,16.00%,0.113,0.301,0.262,0.323,0.375,0.316,99,-5,-13.8,34.9,23
1987,White Sox,1671,6164,173,748,706,138,7.90%,15.80%,0.158,0.282,0.258,0.319,0.415,0.319,92,3.1,-56.5,78.7,23
2007,Rockies,2133,6498,171,860,823,100,9.60%,17.70%,0.158,0.322,0.28,0.354,0.437,0.346,97,9.6,-19.9,41.6,23
2013,Pirates,2216,6135,161,634,603,94,7.60%,21.70%,0.151,0.294,0.245,0.313,0.396,0.312,98,2.2,-11.4,42.9,23
2011,Angels,1794,6088,155,667,629,135,7.30%,17.80%,0.149,0.288,0.253,0.313,0.402,0.313,98,4.5,-6.4,28.1,23
2003,White Sox,1909,6148,220,791,766,77,8.40%,14.90%,0.182,0.279,0.263,0.331,0.446,0.336,101,-0.7,7.5,13,23
2001,White Sox,1906,6151,214,798,770,123,8.50%,16.20%,0.183,0.29,0.268,0.334,0.451,0.337,104,-1.3,28.4,-7.1,23
2010,Padres,2051,6148,132,665,630,124,8.80%,19.20%,0.125,0.29,0.246,0.317,0.371,0.304,92,6.1,-53.3,80.8,22.9
1997,Mets,2268,6248,153,777,741,97,8.80%,16.50%,0.143,0.294,0.262,0.332,0.405,0.325,95,-12.1,-48.5,81.7,22.9
2001,Phillies,2065,6201,164,745,706,153,8.90%,18.00%,0.154,0.296,0.26,0.329,0.414,0.321,92,9.9,-52,81.8,22.9
1985,Astros,2100,6192,121,706,666,96,7.70%,14.10%,0.127,0.288,0.261,0.319,0.388,0.313,102,-5,7.8,8.5,22.8
1997,Yankees,1773,6527,161,891,846,99,10.40%,14.60%,0.15,0.316,0.286,0.362,0.436,0.351,111,-4.3,88.7,-83.6,22.8
1976,Orioles,1771,6091,119,619,576,150,8.50%,14.50%,0.115,0.269,0.243,0.31,0.358,0.31,104,5.9,28.7,-6.5,22.8
1992,Yankees,1666,6262,163,733,703,78,8.60%,14.40%,0.144,0.284,0.261,0.328,0.406,0.33,107,-0.2,47.5,-34.2,22.8
2003,Marlins,2063,6186,157,751,709,150,8.30%,15.80%,0.155,0.296,0.266,0.333,0.421,0.327,99,-2,-12.4,41.8,22.8
1986,Blue Jays,1866,6318,181,809,767,110,7.90%,13.40%,0.157,0.287,0.269,0.329,0.427,0.334,104,-2.1,26.5,-15.1,22.8
2000,Athletics,2066,6432,239,947,908,40,11.70%,18.00%,0.188,0.3,0.27,0.36,0.458,0.356,109,1.9,80.7,-62.9,22.8
1995,Angels,1551,5690,186,801,761,57,9.90%,15.60%,0.171,0.302,0.277,0.352,0.448,0.351,106,-7,36.2,2.4,22.7
2005,Athletics,1826,6275,155,772,739,31,8.60%,13.10%,0.145,0.281,0.262,0.33,0.407,0.323,99,6.2,-1.9,13.7,22.7
1976,Astros,2031,6113,66,625,571,150,8.70%,11.80%,0.09,0.283,0.256,0.322,0.347,0.31,97,7.2,-14.7,24.3,22.7
2005,Reds,2057,6321,222,820,784,72,9.70%,20.60%,0.185,0.302,0.261,0.339,0.446,0.34,103,9.6,32.3,-10.3,22.6
2002,Phillies,2115,6323,165,710,676,104,10.10%,17.30%,0.163,0.294,0.259,0.339,0.422,0.331,101,-4.4,0.1,22.8,22.6
1975,Royals,1776,6231,118,710,667,155,9.50%,10.80%,0.133,0.276,0.261,0.333,0.394,0.332,103,3,21.9,-8.6,22.6
1994,White Sox,1205,4556,121,633,602,77,10.90%,12.50%,0.156,0.307,0.287,0.366,0.444,0.353,112,3.7,77.7,0,22.6
1995,Mariners,1569,5671,182,796,767,110,9.70%,15.40%,0.173,0.3,0.276,0.35,0.448,0.349,106,3.2,45.3,-7.5,22.5
2013,Royals,1833,6093,112,648,620,153,6.90%,17.20%,0.119,0.3,0.26,0.315,0.379,0.305,88,19.1,-61.3,68.2,22.5
1990,Tigers,1816,6224,172,750,714,82,10.20%,15.30%,0.15,0.283,0.259,0.337,0.409,0.335,109,-8.6,55.7,-37.9,22.5
1988,Tigers,1797,6153,143,703,650,87,9.60%,13.70%,0.128,0.271,0.25,0.324,0.378,0.318,100,-3.4,-1.7,13.7,22.5
2004,Yankees,1989,6364,242,897,863,84,10.50%,15.40%,0.189,0.285,0.268,0.353,0.458,0.35,112,-0.1,101.2,-88.1,22.5
1990,Dodgers,2250,6179,129,728,669,141,8.70%,15.40%,0.121,0.293,0.262,0.328,0.382,0.318,97,0.1,-19.2,18.3,22.5
2001,Rangers,1897,6388,246,890,844,97,8.60%,17.10%,0.195,0.3,0.275,0.344,0.471,0.349,108,5.2,70.8,-61.8,22.4
2012,Reds,1873,6115,172,669,636,87,7.90%,20.70%,0.159,0.296,0.251,0.315,0.411,0.314,93,4.8,-44.9,65.9,22.4
2002,Diamondbacks,2075,6318,165,819,783,92,10.20%,16.10%,0.156,0.298,0.267,0.346,0.423,0.335,97,4.8,-18,38.6,22.4
1999,Giants,2107,6449,188,872,828,109,10.80%,15.90%,0.163,0.301,0.271,0.356,0.434,0.347,104,-3.4,30.2,-1.1,22.4
1974,Red Sox,1745,6214,109,696,658,104,9.20%,13.10%,0.114,0.29,0.264,0.333,0.377,0.326,98,0,-12.2,26.2,22.4
1976,Red Sox,1793,6154,134,716,664,95,8.10%,13.50%,0.139,0.285,0.263,0.324,0.402,0.333,104,-8.5,14.6,2.2,22.3
1991,Orioles,1854,6257,170,686,660,50,8.40%,15.60%,0.147,0.278,0.254,0.319,0.401,0.323,101,-3.2,0.7,14.6,22.3
1992,Phillies,2060,6172,118,686,639,127,8.20%,17.20%,0.124,0.292,0.253,0.32,0.377,0.316,98,11.9,-0.8,14.7,22.3
1989,Angels,1599,6102,145,669,624,89,7.00%,16.60%,0.129,0.288,0.256,0.311,0.386,0.313,97,-0.2,-18.9,30,22.2
1996,Astros,2177,6270,129,753,703,180,8.80%,16.90%,0.135,0.301,0.262,0.336,0.397,0.322,98,6.1,-9.8,50.4,22.2
1995,Astros,2087,5852,109,747,694,175,9.70%,16.90%,0.124,0.32,0.275,0.353,0.399,0.334,104,7.3,39.3,-9.5,22.2
1991,Giants,2283,6098,141,649,605,95,7.70%,16.00%,0.134,0.275,0.246,0.309,0.381,0.308,96,-3.7,-31.5,47.6,22.1
1983,Braves,2121,6198,130,746,691,146,9.40%,13.70%,0.128,0.299,0.272,0.341,0.4,0.33,99,-6.6,-11.2,22.4,22.1
2007,Angels,1810,6198,123,822,776,139,8.20%,14.20%,0.133,0.315,0.284,0.345,0.417,0.333,100,8.4,10,2,22.1
1987,Cardinals,2156,6299,94,798,746,248,10.20%,14.80%,0.115,0.3,0.263,0.34,0.378,0.317,92,16.2,-46.6,53.3,22.1
